timestamp,blaine_pv_read,blaine_target_read,clinker_pv_read,clinker_%_pv_read,clinker_%_sp_read,clinker_grade_b_pv_read,clinker_grade_b_%_pv_read,clinker_grade_b_%_sp_read,dust_pv_read,electronic_ear_pv_read,elevator_load_a_pv_read,elevator_load_kw_pv_read,fls_dust_pv_read,fls_dust_%_pv_read,fls_dust_%_sp_read,fresh_feed_pv_read,fresh_feed_sp_read,grinding_aid_tda_pv_read,grinding_aid_tipa_pv_read,gypsum_pv_read,gypsum_%_pv_read,gypsum_%_sp_read,limestone_pv_read,limestone_%_pv_read,limestone_%_sp_read,livebit_plc_pv_read,mill_exit_pressure_pv_read,mill_fan_load_a_pv_read,mill_fan_load_a_sp_read,mill_fan_damper_pv_read,mill_fan_damper_high_limit_read,mill_fan_damper_low_limit_read,mill_fan_damper_is_saturated_hl_read,mill_fan_damper_is_saturated_ll_read,mill_kw_pv_read,rea_gypsum_pv_read,rea_gypsum_%_pv_read,rea_gypsum_%_sp_read,recipe_type_pv_read,rejects_pv_read,residue_pv_read,residue_target_read,rto_ready_pv_read,rto_selected_pv_read,separator_exit_temperature_pv_read,separator_fan_damper_pv_read,separator_fan_damper_high_limit_read,separator_fan_damper_low_limit_read,separator_fan_damper_is_saturated_hl_read,separator_fan_damper_is_saturated_ll_read,separator_fan_load_a_pv_read,separator_fan_load_a_sp_read,separator_load_a_pv_read,separator_speed_pv_read,separator_speed_sp_read,total_feed_pv_read,water_flow_pv_read
2025-02-01 00:15:00,4960.0,5200.0,51.92057,78.48723,63.0,0.0,0.0,30.5,0.1023331,102.0074,87.73148,0.0,3.142357,4.750235,0.0,66.15162,65.49289,434.1759,0.0,2.810329,4.248315,3.5,9.115487,13.77969,3.0,0.0,-35.12027,133.2465,135.6879,98.75578,65.0,45.0,1,0,3718.0,0.01898776,0.0,0.0,16.0,198.0613,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,513.3102,513.3102,305.4865,1390.542,1400,264.213,10.85107
2025-02-01 00:15:30,4960.0,5200.0,51.84896,78.62313,63.0,0.0,0.0,30.5,0.1023331,102.2859,87.0298,0.0,3.038191,4.607076,0.0,65.94618,65.49289,434.1759,0.0,2.816297,4.270598,3.5,9.103732,13.80479,3.0,24.0,-35.59228,135.8507,134.7656,98.84259,65.0,45.0,1,0,3765.0,0.01898776,0.0,0.0,16.0,196.9039,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,512.7315,512.7315,305.7372,1390.745,1400,262.8501,10.85107
2025-02-01 00:16:00,4960.0,5200.0,51.77734,79.0068,63.0,0.0,0.0,30.5,0.1023331,102.0689,91.84028,0.0,2.569441,3.920697,0.0,65.5353,65.49289,434.1759,0.0,2.817382,4.29903,3.5,9.113679,13.90652,3.0,5.0,-34.9575,137.2396,135.8073,98.72685,65.0,45.0,1,0,3731.0,0.01898776,0.0,0.0,16.0,201.5336,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,513.5995,513.5995,312.2542,1389.389,1400,267.0689,10.85107
2025-02-01 00:16:30,4960.0,5200.0,51.84896,79.11607,63.0,0.0,0.0,30.5,0.1023331,102.4378,89.25058,0.0,2.534719,3.867715,0.0,65.5353,65.49289,434.1759,0.0,2.809244,4.286612,3.5,9.17607,14.00172,3.0,29.0,-35.36441,135.1563,134.9826,98.72685,65.0,45.0,1,0,3702.0,0.01898776,0.0,0.0,16.0,197.9167,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,514.757,514.757,305.2358,1391.898,1400,263.452,10.85107
2025-02-01 00:17:00,4960.0,5200.0,51.69271,79.37531,63.0,0.0,0.0,30.5,0.1023331,101.9133,88.96123,0.0,2.291663,3.518899,0.0,65.12442,65.49289,433.0501,0.0,2.809244,4.313656,3.5,9.10102,13.97482,3.0,11.0,-35.65738,135.9375,135.102,98.72685,65.0,45.0,1,0,3735.0,0.01898776,0.0,0.0,16.0,194.8785,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,513.8889,513.8889,310.7503,1391.898,1400,260.0029,10.85107
2025-02-01 00:17:30,4960.0,5200.0,51.84896,78.86883,63.0,0.0,0.0,30.5,0.1023331,101.7687,88.80932,0.0,2.812496,4.278163,0.0,65.74075,65.49289,434.1759,0.0,2.809244,4.273216,3.5,9.110967,13.85893,3.0,35.0,-35.47834,135.9375,135.5143,98.72685,65.0,45.0,1,0,3727.0,0.01898776,0.0,0.0,16.0,200.8102,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,514.1782,514.1782,313.0062,1392.169,1400,266.5509,10.85107
2025-02-01 00:18:00,4960.0,5200.0,51.77734,79.0068,63.0,0.0,0.0,30.5,0.1023331,101.7831,91.21094,0.0,2.55208,3.894206,0.0,65.5353,65.49289,434.1759,0.0,2.816839,4.298202,3.5,9.10102,13.8872,3.0,18.0,-35.18537,135.0694,135.753,98.72685,65.0,45.0,1,0,3752.0,0.01898776,0.0,0.0,16.0,202.2569,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,515.625,515.625,297.4655,1395.018,1400,267.7922,10.85107
2025-02-01 00:18:30,4960.0,5200.0,51.92708,78.49706,63.0,0.0,0.0,30.5,0.1023331,102.1159,91.46412,0.0,3.02083,4.566525,0.0,66.15162,65.49289,434.1759,0.0,2.810329,4.248315,3.5,9.125434,13.77832,3.0,0.0,-35.55973,134.2014,135.0586,98.72685,65.0,45.0,1,0,3719.0,0.01898776,0.0,0.0,16.0,199.2188,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,514.1782,514.1782,302.9799,1391.355,1400,265.3704,10.85107
2025-02-01 00:19:00,4960.0,5200.0,51.97916,79.06689,63.0,0.0,0.0,30.5,0.1023331,102.5788,91.85474,0.0,2.725691,4.146121,0.0,65.74075,66.0,434.1759,0.0,2.816297,4.283944,3.5,9.135381,13.89607,3.0,24.0,-35.28303,138.8889,136.046,98.72685,65.0,45.0,1,0,3722.0,0.01898776,0.0,0.0,16.0,197.1933,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,514.4676,514.4676,301.7267,1393.797,1400,262.934,10.85107
2025-02-01 00:19:30,5200.0,5200.0,51.58854,78.7187,63.0,0.0,0.0,30.5,0.1023331,101.6891,87.94849,0.0,2.725691,4.159119,0.0,65.5353,66.0,434.1759,0.0,2.810329,4.288268,3.5,9.110967,13.90238,3.0,6.0,-35.576,135.7639,134.9826,98.72685,65.0,45.0,1,0,3721.0,0.01898776,0.0,0.0,16.0,200.5208,0.3,1.0,0.0,0,77.12673,54.05093,76.0,65.0,0,1,515.3356,515.3356,311.2516,1393.051,1400,266.0561,10.85107
